PREFIXO,MANTENEDOR,PREFIXO AN,NOME DA ES,DE,ATE,LATITUDE,LONGITUDE,MUNICIPIO,MUNICIPI_1,BACIA HIDR,Nome UGHRI,N_UGRHI,Nome SUBUG,N_SUBUGRHI,REDE,PROPRIETAR,TIPO DE PO,AREA (Km2),BTL,cia_amb,COBACIA,OBS,TEMPO DE T,STATUS PCD,ULTIMA TRA,CONVENCION,LOGGER,TELEMETRIC,NIVEL,VAZAO,FICHA DE INSPECAO,ULTIMA DATA FI,FICHA DESCRITIVA,ULTIMA_ATUALIZACAO_FD,AQUIFERO,ALTIMETRIA
5F-015,,,PASSAGEM DO MEIO,"1972","1983",-24.58333333,-48.76,IPORANGA,Iporanga,RIB. BETARI,Ribeira de Iguape / Litoral Sul,"11",Baixo Ribeira,11_3,,SPÁguas,FLU,177,3° BPAmb,"3200","7794594",,,,,,,,,,,,,,,
5F-016,,,BARRA DO AZEITE,"1971","1997",-24.78083333,-48.20555556,JACUPIRANGA,Cajati,RIB. JACUPIRANGUINHA,Ribeira de Iguape / Litoral Sul,"11",Rio Ribeira de Iguape,11_5,,SPÁguas,FLU,204,3° BPAmb,"3200","7794293",,,,,,,,,,,,,,,
5F-017,IPT,,BARRA DO BATATAL,"0","0",-24.58638889,-48.32305556,ELDORADO,Eldorado,R. RIBEIRA DO IGUAPE,Ribeira de Iguape / Litoral Sul,"11",Baixo Ribeira,11_3,,SPÁguas,FLU,13760,3° BPAmb,"3200","7794571",LOGGER (VAISALA) / TELEMETRIA SATELITE - SEM OBSERVADOR - ESTAÇÃO MISTA F5-048 - NÃO TEM CURVA,,PARALIZADO,,,,,,,,,,,,
5F-018,IPT,,BARRA DO TURVO,"0","0",-24.87388889,-48.58166667,BARRA DO TURVO,,R. TURVO,,,,,,SPÁguas,FLU,439,,,"779463",LOGGER (VAISALA) / TELEMETRIA SATELITE - SEM OBSERVADOR - ESTAÇÃO MISTA F5-049 - NÃO TEM CURVA,,PARALIZADO,,,,,,,,,,,,
5F-019,FCTH,,IPORANGA,"0","0",-24.58722222,-48.70944444,IPORANGA,Iporanga,"R, RIBEIRA DO IGUAPE",Ribeira de Iguape / Litoral Sul,"11",Baixo Ribeira,11_3,,SPÁguas,FLU,,3° BPAmb,"3200","7794594",LOGGER (VAISALA) / TELEMETRIA SATÉLITE  - LOGGER (FCTH) / TELEMETRIA CHIP CELULAR - OPERAÇÃO CONJUNTA/SAISP - ESTAÇÃO MISTA F5-050,,ATIVO,,,,,,,,,,,,
6B-004,,,INGÁS,"1971","1980",-20.36666667,-49.34,NOVA GRANADA,Nova Granada,R. TURVO,Turvo/Grande,"15",Médio Turvo,15_5,,SPÁguas,FLU,5392,4° BPAmb,"4100","868232",FOI REGISTRADOR MECÂNICO,,,,,,,,,,,,,,
6B-007,FCTH,"61990000",FAZENDA SÃO LUIZ,"1962","2024",-20.29555556,-49.7625,COSMORAMA,Americo de Campos,R. PRETO,Turvo/Grande,"15",Rio Preto,15_6,,SPÁguas,FLU,2296,4° BPAmb,"4200","8682214",FALHAS NO PERÍODO - SEM OBSERVADOR,,ATIVO,,,,,Q,,,,,,,
6B-009,FCTH,"61974000",SOTERO,"1969","2024",-20.56,-49.20138889,ONDA VERDE,Onda Verde,R. TURVO,Turvo/Grande,"15",Médio Turvo,15_5,,SPÁguas,FLU,4838,4° BPAmb,"4100","8682372",LOGGER (FCTH) / REGISTRADOR MECÂNICO - (ESTAÇÃO MISTA B6-057),,ATIVO,,,,,,,,,,,,
6B-010,,,PORTO PONTAL,"1970","1983",-20.15,-49.78,RIOLÂNDIA,Pontes Gestal,R. TURVO,Turvo/Grande,"15",,15_7,,SPÁguas,FLU,9069,4° BPAmb,"4200","868215",,,,,,,,,,,,,,,
6B-011,IPT,,IPIGUÁ,"1985","2016",-20.62861111,-49.425,IPIGUÁ,Ipigua,R. PRETO,Turvo/Grande,"15",Rio Preto,15_6,,SPÁguas,FLU,576,4° BPAmb,"4100","868228",LOGGER (SOLINST) / FOI REGISTRADOR MECÂNICO - SEM OBSERVADOR,,PARALIZADO,,,,,,,,,,,,
6B-012,FCTH,"62015400",CABRITO,"1993","2024",-20.52388889,-50.19555556,VOTUPORANGA  *(TG),Magda,CÓRR. CABRITO,,"18",Médio São José dos Dourados,18_2,,SPÁguas,FLU,39,4° BPAmb,"4200","8672937",LOGGER (FCTH),,ATIVO,,,,,,,,,,,,
6B-500Z,FCTH,,SÍTIO ENGEMIN,"2009","2025",-20.6125,-49.56777778,MIRASSOLÂNDIA,Tanabi,CÓRR. INVERNADA,Turvo/Grande,"15",Rio Preto,15_6,,SPÁguas,PIEZO,,4° BPAmb,"4100","8682261",LOGGER (SOLINST),,ATIVO,,C,,,,,,,,,Bauru,500.102
6B-501Z,FCTH,,FAZENDA SÃO FRANCISCO,"2009","2025",-20.18055556,-49.44027778,ORINDIÚVA,Orindiuva,CÓRR. BARREIRÃO,Turvo/Grande,"15",Médio Turvo,15_5,,SPÁguas,PIEZO,,4° BPAmb,"4100","8682313",LOGGER (SOLINST),,ATIVO,,C,,,,,,,,,Bauru,496.859
